POST_TEXT,IMAGE,SOCIAL_COUNT,SOCIAL_COMMENTS
"Publishing freelancing tips on LinkedIn will only build you an audience of freelancers. Here are the types of content that will attract clients:

> Inspirational personal stories that showcase your strengths (great for reach!)

> Tips for prospective clients' problems

> Case studies (of clients and non-clients)

> Client success stories

> Client testimonials

So, what post will you publish next?

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,412,47 comments
"""Can I freelance along with studying/ a job?""

Yes, you can.

You'll have to stay up late for work;

Work full-time on weekends;

Create content during your breaks;

Skip outings and parties;

Give up on a lot of your ""me time"";

Take on some more mental stress and pressure...

So yes, freelancing + studying/ doing a job is possible.

It doesn't mean it's easy though.

BUT,

As long as you realise that possible ≠ easy,

And as long as you are willing to work through that couple years of grinding,

You'll be able to do both successfully.

Just make sure you prepare your mind for this first!

Your mindset is key to success-oriented action.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,618,58 comments
"Why you're not getting clients from LinkedIn: You're posting freelancing tips that attract other freelancers.

If you want to attract clients, post what's relevant to them and their pain points.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,772,82 comments
"Short, personalised, relevant DMs are respectful of people’s time.

People you're DMing love it when you're respectful of their time, because most people who DM them aren't.

So send short, personalised, relevant DMs that are respectful of people’s time.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,520,43 comments
"If you’re new to personal branding, don’t think about “building a personal brand.”

Instead, focus on:

• Picking 2-3 topics to publish content about
• Publishing 1-2 posts a day on 1 platform
• Engaging with 5-10 people a day.

Focus on the daily actions, not the long-term result.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,670,74 comments
"⚠️ An occupational hazard of being a freelancer: You never ""log out.""

I'm coming up with hundreds of ideas before bed;

I'm dreaming about what ebook to write next;

I'm thinking of content to create while I'm scrolling...

The work doesn't stop even after shutting the laptop.

⚠️ An occupational hazard of being a content creator: You search for content in everything.

Things become more about “writing about this later” than about being present in the moment.

Plus the touch of personal writing is lost, as the brain is trained to follow “content norms.”

What are some hazards of your occupation?

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,483,62 comments
"Want to get paid more?
Say no to anyone that pays less.

Want to get paid in advance?
Say no to anyone who doesn't.

Want to work with clients in x location?
Say no to anyone that isn't in that location.

Want to offer only service A, not B?
Say no to anyone that asks for service B.

Your freelancing career is 100% in your control.

Say no to everything you don't want, so you can seek out and say yes to what you want most.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"1,035",79 comments
"Over 50% of my Instagram audience is student freelancers. Curious what my LinkedIn audience looks like!

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,230,45 comments
"Everyone talks about pushing yourself beyond your limits. Forget beyond, just push yourself TO your limits first. You and your life will do a 180 within that much.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,579,55 comments
"If you have a laptop, internet connection and a skill, you could be making $1000+ per month by February. Create, engage, offer; repeat.

And if you don’t have a skill yet, you can learn one and be making $1000+ per month by April.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"1,008",63 comments
"If you have a podcast/ host Instagram Lives/ Twitter Spaces and would like to have me on it, DM me!

Looking forward to having more conversations 🥂

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,309,22 comments
"My goals for 2022 revolve around writing, money, health, and pursuing my personal interests. Here are 7 apps I’ll be using to keep up with my goals:

1. Bear Notes/ Notes app, for writing ideas, occasional personal journals, and these threads. I create folders for each type of writing so that my 1000s of notes are well-organised and easily searchable.

2. Tasks, for creating my digital to-do list. I use this on my MacBook, and have set the app to open as soon as I turn my laptop on. I can easily drag tasks from “In progress” to “Done” etc, which I find visually helpful.

3. StoryGraph/ Booksy, for tracking my reading list. I haven’t used either of these before; looking forward to see how they help me keep up with my reading goals and understand my reading interests.

4. Lifesum, for tracking my calories. I’ll use this regularly for a few months, and probably drop it along the way once I get a hang of what my required daily calorie intake looks like.

5. Strong, for tracking my workout routine and progress. I maintained a diary for my workouts last year, but tracking this digitally will be much more convenient.

6. XMind, for creating mind maps of my content/ ebook/ course ideas. The free version includes tons of visual mind map options. And the one-click list-view is my favourite part.

7. Forest, for making my phone “unusable” for a fixed number of hours. I used this all of 2021, and it is one of my favourite apps ever. Will stick to it in 2022 as well.

How do you track your goals?

#ShreyaWrites

P.S. If LinkedIn Branding is on your 2022 goal list, DM me to find out how I can help achieve your goal!

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,313,46 comments
"Founders and Coaches! Are you on track with your LinkedIn Branding resolution for 2022? It's time to get started and get ahead ASAP!

DM me to find out more.

#ShreyaWrites

#content #writer #contentwriter #linkedin
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,142,3 comments
"Want to become a better writer?
Write everyday.

Write blogs, social media posts, journals, rants, musings, poems, speeches... anything you like.

Just get in the practice of writing everyday.

One fine day, you'll realise your writing has improved 100x ""effortlessly"".

That’s the power of practice.

#ShreyaWrites

P.S. Practice isn't the thing you do once you're good. It's the thing you do that makes you good.

~ Malcolm Gladwell

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,907,99 comments
"🎁 FREE GIFT 🎁

Hey everyone - here’s a New Year’s gift 🎁 for you all ❤️ Click the link below to get this 23-minute video for FREE:
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,104,8 comments
"HAPPY NEW YEAR EVERYONE!!! 🥳

May 2022 be our best,
most happiest,
peaceful,
adventurous
and rewarding year yet!
❤️

Cheers to 2022! 🥂

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,303,28 comments
"One of the things I’m most proud of doing this year: Flying Business Class for the first time. I bought my own tickets with my freelancing income… and I never imagined this would happen (at least not so soon).

This was back in May, when I finished college in Dublin and planned to come back home.

My dad literally said, “Come home only if you’re flying Business Class.”

He wanted me to experience that luxury; to see what it means to travel the “rich” way.

And the experience was FANTASTIC.

• A huge Mercedes van with a super-dressed-up chauffeur came to pick me up

• I had priority access through all the queues across the airport

• I was nauseous throughout the flight, and the airhostesses kept checking in on me every hour or so, asking if I needed anything. They even offered me a meal beyond the usual meal-serving times, once I was feeling better

• And of course, the flight itself was relaxing, spacious and super comfortable.

Before I ever flew Business Class, I wondered why people paid so much to basically be able to lie down in a flight for a few hours.

Turns out, the seat itself is a small part of it all — the true essence of this is how everyone treats you as their top priority and moves things around to keep you comfortable and happy.

You really need a taste of this luxury to know exactly how luxurious luxury is.

This one experience 110% pushed me to earn more so I could do this again, and for my family too.

Grateful for everything that made such a life possible for me ❤️

#ShreyaWrites

Happy 2022 everyone! May this be our best year yet 🥂

#content #writer #contentwriter

P.S. My flight had LinkedIn Learning too 😆
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"6,716",270 comments
"💰 What you think $100k+ a year looks like:

Month 1: $10k
Month 2: $10k
Month 3: $10k
Month 4: $10k
Month 5: $10k
Month 6: $10k
Month 7: $10k
Month 8: $10k
Month 9: $10k
Month 10: $10k
Month 11: $10k
Month 12: $10k

💰 What $100k+ a year actually looks like:

Month 1: $10k
Month 2: $8k
Month 3: $12k
Month 4: $15k
Month 5: $10k
Month 6: $8k
Month 7: $20k
Month 8: $15k
Month 9: $10k
Month 10: $10k
Month 11: $8k
Month 12: $8k

Don’t stress over the ups & downs. You’ll recover the $$$ soon enough.

#ShreyaWrites

P.S. The best part is, once you know how to make at least $2000 a month online, you’ll never go back to $0.

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,474,46 comments
"The 4 Rules of Charging as a Freelancer:

1. Charge more
2. Charge in advance
3. Charge by the project/ month
4. Charge for the value, not hours.

#ShreyaWrites

Comment any questions!

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,750,83 comments
"I can't believe we are already counting down the final 3 days of 2021... the year went by strangely fast yet not fast enough at the same time. Hmm.

Well, if you're anything like me, you are now reflecting back upon everything you did in 2021, and jotting down your goals for the new year.

And I am sure that making money online/ increasing your income is on your list of goals for 2022.

So how about we give you a kickstart towards achieving this goal?

For the next 3 days, you can grab any and all of my ebooks for 21% off!

🎁 CLICK THE LINK in the comments and USE CODE: 2021

What can you learn from my ebooks?

🎄#Anthology

--> A heartwarming read to learn simple yet powerful tips for writing content, building an audience on LinkedIn, and freelancing.

🎅🏼 Money Call$

--> Learn how to conduct sales calls confidently, close deals, and get paid on the phone.

🎉 Freelancing Freedom

--> Learn how to pick a freelance-worthy skill, create an irresistible offer, find your first client in 10 days, and make $1000+ per month within 3 months.

🎈 Ca$hing In on LinkedIn

--> Learn how to build an audience on LinkedIn that generates 3-5 inbound leads a day and six-figures USD a year

🥂 Twitter Anthology

--> A collection of my best Twitter Threads that will teach you freelancing, content creation, and my takeaways from everyday lessons. (You'll also get a sneak-peek into my other ebooks with this!)

Click the link in the comments and use code ""2021"" to get them all for 21% off now.

Happy Holidays!
Shreya
❤️

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,89,6 comments
"What’s one thing you wish you could go back and do differently in 2021?

Write more?
Read more?
Workout more?
Travel more?
Eat healthier?
Sleep better?
Pursue your passions?
Start your business sooner?
Make time for your hobbies?
Spend time with your family?
Play outdoors with your children?

Think about it.

Chances are, what you wish you’d done differently in 2021 can STILL be done in 2022.

You don’t need to go back and “fix” things. Instead, look ahead and aim to do things differently now!

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,303,48 comments
"This is the best end-of-the-year message to send out to clients 😁

Have a great last week of 2021, everyone!🎄🎁

#ShreyaWrites

What are you up to this week?

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,206,12 comments
"Everyone talks about trying to win, but few realise that you can try to lose too. Every time you act on something that adds nothing to you/ your goal, you are trying to lose. On purpose.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,348,34 comments
"Did you know: My 5th ebook Twitter Anthology also includes high-value sneak-peeks into my first 4 ebooks 🤩

Get the 81-page ebook + 39-page 'Sneak Peek' PDF for only $5 👇

https://lnkd.in/dBvC3Xc6

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,103,8 comments
"8 days left in 2021

“You can turn your life around in one week and start the new year with a bang”

Nah, it’s time for a week off.

There’s time for hard work, and there’s time for rest & celebration — this is the time for latter.

Enjoy your holidays, people!

#ShreyaWrites

What are your plans for the last week of 2021?

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,485,28 comments
"21 lessons I learnt in 2021:

[Derived from some of my most thoughtful/ heartfelt/ vulnerable/ mindful writings from different times throughout the year]

1. Things will take their own time, and you’ve got to let them. While you “wait” for things to work out, don’t put your life on a halt. Create; learn; practise; rest; get stronger… Make the most of the waiting period.

2. You can improve 100x within a minute if you set your mind towards something. You can hit every note in your vocals class; you can lift your heaviest barbell; you can play your best game. Be in charge of your mind & you’ll almost conquer the action (if not the result)

3. Don’t just try to avoid losses in life; focus more on winning new things. Trying to avoid losses will make you desperate for the win. That desperation will lead to desperate actions, which will often lead you to lose that thing anyway.

4. A lot of things are not in your control. It is what it is. Let it be.

5. More things are in your control than you think. It is what you make it. Work on it and make it happen for you.

6. Your intuition is always right. If something feels “off”, it highly likely is. Pause, reflect and then act — you might just have the power to make it right.

7. Family comes first. They are your ride-and-die. They are your biggest cheerleaders. Always stick close to them.

8. When you find the momentum to do something, don’t let it go. Leverage it, build it, capitalise on it. Momentum is often short-lived, make the most of it.

9. Move. Eat right. Lift heavy. Then lift heavier. Your skin, hair, nails, heart, mind and soul will thank you for it.

10. Stop being over-excited about your achievements. You deserve those achievements for your hard work — you should see them coming. Be level-headed.

11. Create something every day. Creating is the most personally rewarding and freeing thing to do.

12. Learn something because you love it. Look for reasons other than monetisation to spend hours on something.

13. Spend time with yourself; spend some money on yourself. Buy a course, a fancy dinner, a new dress, a new membership… Celebrate yourself.

14. Something affecting you personally does not imply you’re weak or need “fixing.” Sometimes it only means that the situations and circumstances are crappy… and you’re human.

15. At times you will be the smartest, most successful person you know. At other times, you will be the most stupid and naive person you know. Embrace both sides of yourself, and keep turning the stupid-naive times into more of the smart-successful times.

#ShreyaWrites

[Continued in comments]

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,295,28 comments
"It's better to set realistic expectations and overdeliver, than overpromise and underdeliver. Always set realistic expectations with your clients.

#ShreyaWrites

How do you convey and set client expectations on your sales call? Comment below.

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,441,21 comments
"My early freelancing days were rough:

> Didn't know what boundaries are, and brokedown over rude client texts at 2 AM

> Agreed to per-word pay, and ended up working 10+ hrs for a total of $30

> Didn't set project deadlines, and worked for 2-3 months on a 1-month pay

> Didn't charge in advance, and had to follow up for months to get paid.

Looking back, I'm glad I made these mistakes. They cost me less then than they would've now, and have taught me how to overcome the bigger mistakes I make today.

#ShreyaWrites

What's the biggest mistake you've made that later improved your career?

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,768,80 comments
"When you've lost all motivation to work, realise that you've got to get things done now... otherwise there will be nothing left to do.

Use this to push yourself a few times. The inclination to work will follow soon.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,448,44 comments
"Do you struggle with creating content consistently?

Here's your 90-minutes-a-week content creation strategy:

⏰ 10 mins
List down as many topics as possible

⏰ 10 mins
Take a break

⏰ 15 mins
Create rough outlines for each topic

⏰ 10 mins
Take a break

⏰ 45 mins
Work on each content idea one by one.

Try it out and let me know how it goes!

#ShreyaWrites

P.S. If you're a Founder or business coach looking for help with LinkedIn branding and content creation, DM me!

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,446,45 comments
"90% of my clients don't even ask me for my writing samples. My content & presence on my LinkedIn profile are enough for them to hire me (with a 100% advance payment.)

Stop sleeping on LinkedIn, people! Leverage LinkedIn and start attracting high-quality clients:

gumroad.com/l/linkedincash

#ShreyaWrites

Comment any questions!

[And DM for UPI payment options]

#content #writer #contentwriter #linkedin #linkedingrowth
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,124,9 comments
"My ultimate goal is to stop ""budgeting.""

If I love something and want it for myself or my family, I want to be able to have it. Period.

#ShreyaWrites

What’s your “ultimate” goal?

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,672,117 comments
"Founders! Is LinkedIn personal branding on your 2022 resolutions list yet?

I'd love to help you out with building a brand on LinkedIn, so you can focus on building your business!

DM me to find out more.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,266,13 comments
"🚨 New ebook alert! 🚨

Twitter Anthology is OUT… and FREE for the first 2021 people! 🥂

You can order this for $0 or pay what you like…

https://lnkd.in/dBvC3Xc6

You’ll get instant access to:

🥂 Twitter Anthology PDF (81 pages)
+
🥂 Shreya’s Ebooks: The ‘Sneak Peek’ Edition — 39 pages of high-value extracts from my previous 4 ebooks!

Click the link below and order now 👇

https://lnkd.in/dBvC3Xc6

Free copies only for the first 2021 people!

#ShreyaWrites

#content #writer #contentwriter #ebook #twitteranthology
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,258,19 comments
"This ebook reader got 3 inbound leads on LinkedIn with just a few profile and content tweaks!

Stop sleeping on LinkedIn, people!

👇🏻 Click here and start monetising LinkedIn now 👇🏻

gumroad.com/l/linkedincash

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,213,7 comments
"When my first ebook came out, my grandfather told his friends to get a copy. 25 of them ordered the ebook only to support me.

Now they all keep up with my LinkedIn posts… (if you’re reading this, hello! 😊)

Some of his friends even got all 4 of my ebooks ’coz they liked it so much!

Supportive grandparents (& their friends) >>>

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,972,52 comments
"The best thing you can do for yourself is to give yourself your best. Make up your mind to do something, and never let yourself down.

In the entire world, you’ve got to trust and rely on yourself the most.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,560,51 comments
"“How can I be consistent with freelancing?”

One of the main fears new freelancers have about freelancing is that they won’t be consistent with it.

After all, freelancing is self-employment.

❌ You don’t have a “Manager” or a “Boss” to overlook your work,

❌ You don’t have fixed work hours that you need to login for everyday,

❌ You don’t get a salary cut if you work for 3 hours on one day instead of 5.

So the big question comes up:
“How can I be consistent with freelancing?”

Well, if you aren’t consistent as a freelancer, stress and anxiety will creep up very easily…

✅ Yes, you don’t have a boss, but you do have multiple clients that you are accountable towards.

✅ Yes, you don’t get a salary cut, but you won’t get new clients either if you don’t prospect consistently.

✅ Yes, you don’t have to log in to a system everyday, but you won’t build a sustainable freelancing career if you don’t show up every day.

So if all the positive sides of freelancing aren’t “motivation” enough to be consistent with your work, then use these challenging aspects to keep you consistent.

As I like to say - Do a little bit everyday and enjoy what you do, or cry while doing all of it together.

Either way, it’s you who has to do it… so the former is better :)

#ShreyaWrites

Comment any questions!

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,389,40 comments
"🚨 Black Friday Sale - 25% OFF all my ebooks!!! 🚨

Click on the link in my comments section and enter code “BLACKFRIDAY21” at checkout! 🥳

💰 Ca$hing In on LinkedIn - Learn how to build an audience and make $$$$ on LinkedIn

🚀 Freelancing Freedom - Learn how to start freelancer and find your first client in 10 days

🔥 Money Call$ - Learn how to conduct sales calls and get paid on the phone

🧠 #Anthology - Learn from my top LinkedIn posts and get 50+ cues to write your own!

Click on the link in my comments and enter code “BLACKFRIDAY21” at checkout! 🥳

[DM for UPI payment options]

#ShreyaWrites
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,130,6 comments
"What if Virat Kohli did only cardio in the gym, and had no in-field cricket training? Would he be one of the best cricket players we've seen?

No, of course not.

Virat Kohli NEEDS in-field training.

That's how I feel about internships & freelancing too: Internships will not teach you how to freelance.

Yes, internships *might* help you learn the work itself, eg, social media management or article writing etc.

But those things make up only 5-10% of a successful freelancing career.

Freelancing relies heavily (90-95%) on things that are not part of an internship:

• Lead generation (most important!)
• Personal branding
• Creating services & setting prices
• Persuasion & proposals
• Conducting sales calls
• Closing clients
• Dealing with payments
• Setting terms & conditions
• Managing client concerns and issues
• Working with new people regularly.

You can't expect internships to teach you all these aspects of freelancing.

Freelancing is freelancing, and it requires hands-on experience in well... freelancing!

Now, you can still choose to take up an internship to learn how to do a particular task.

However, consider whether you want to take up the 40+ hours a week of stress and extra time-involvement (eg. travel) that comes with an internship,

Or instead use that time to learn freelancing as soon as possible.

Bottom line:

If you want to be a freelancer, start freelancing.

#ShreyaWrites

P.S. Check my comment on this post if you want to learn freelancing.

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,260,27 comments
"My biggest flex is that my parents are my biggest supporters and cheerleaders. Blessed and grateful.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,960,64 comments
"99% of my tasks get done in one go because I think, ""Ok let me quickly check out what this involves..."" and then end up spending 3 hours straight doing the whole thing.

The Flow is real.

Get yourself to take the first step, and the flow will take care of the rest.

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,796,52 comments
